GeneID,GSM3528727,GSM3528728,GSM3528729,GSM3528730,GSM3528731,GSM3528732,GSM3528733,GSM3528734,GSM3528735,GSM3528736,GSM3528737,GSM3528738,GSM3528739,GSM3528740,GSM3528741,GSM3528742,GSM3528743,GSM3528744,GSM3528745,GSM3528746,GSM3528747,GSM3528748
ENSG00000131149,6502,5499,8013,4602,5411,2259,1778,1401,2302,1391,931,2247,2944,4389,6066,7049,3070,1827,1513,4698,4690,2505
ENSG00000131153,1430,353,1230,1253,784,539,376,256,168,1104,303,283,557,525,607,269,353,298,116,535,207,373
ENSG00000131165,961,457,748,990,728,156,257,149,157,538,166,335,391,1017,557,433,511,622,479,707,520,566
ENSG00000131171,6996,2836,6162,7406,6093,2264,1624,1418,1183,2889,1091,2022,2498,8946,6047,2790,5029,11380,4297,4796,4798,3583
ENSG00000131174,4549,2346,3415,3416,2738,2182,1337,861,836,2559,1271,1371,2174,3321,3319,2148,2130,3882,1448,1946,1741,2063
ENSG00000131183,0,0,2,1,0,1,0,6,1,1,0,8,1,2,20,0,5,0,2,0,1,0
ENSG00000131187,9,18,11,12,14,1,0,0,4,2,2,6,15,19,18,97,20,5,13,2,3,4
ENSG00000131188,126,42,60,92,52,15,13,10,19,23,14,84,68,177,86,101,168,124,53,112,69,98
ENSG00000131196,22,7,10,22,16,13,6,12,8,13,5,154,23,176,133,122,44,80,79,147,163,141
ENSG00000131203,9,9,8,11,3,2,0,4,2,2,0,12,4,7,11,5,0,9,12,11,4,4
ENSG00000131233,53,29,37,34,50,19,25,21,18,26,5,19,19,42,99,58,50,30,38,57,29,35
ENSG00000131236,10559,5605,8960,9203,6581,5261,4858,2339,2286,10204,3027,3925,5148,11285,7300,3467,4049,7081,4035,5780,3792,5533
ENSG00000131238,5578,2169,4437,4093,3135,2229,1259,878,924,2629,901,2757,2746,8999,4860,1824,4166,5651,3460,3313,2298,5229
ENSG00000131242,3036,2323,1968,2289,1329,668,214,552,558,195,631,186,710,505,1869,1667,247,298,189,762,496,396
ENSG00000131263,24641,17364,21677,21588,17512,11608,5926,5972,6400,12122,6268,7303,9797,20177,19155,11288,9297,11784,6931,11630,9593,9201
ENSG00000131264,0,0,2,1,0,0,0,1,0,0,0,1,0,4,1,0,0,0,0,0,2,0
ENSG00000131269,2972,1698,2932,2328,2762,1132,811,611,536,1360,626,715,1140,2639,1582,764,1197,1767,1156,1161,896,1012
ENSG00000131323,4147,2563,2547,3583,2270,1348,647,783,634,1004,560,1396,1836,2243,2857,1507,1418,1443,1119,2206,866,1205
ENSG00000131351,844,260,615,745,482,278,201,162,80,590,194,195,308,442,420,160,202,220,139,313,189,190
ENSG00000131355,1,3,2,0,0,0,0,4,0,0,3,7,0,5,12,0,1,0,0,1,5,1
ENSG00000131368,3413,1924,2729,2607,2014,1360,573,736,824,1433,800,1280,1868,3430,2634,1879,3032,2101,1088,1394,1031,1616
ENSG00000131370,3154,2620,2089,2339,1182,1118,1078,475,738,391,680,2125,1004,2302,4464,5510,3018,2861,2297,3924,2420,2830
ENSG00000131373,1142,928,984,1104,1102,542,250,281,266,712,357,424,598,1266,999,426,684,829,414,925,490,589
ENSG00000131374,6230,4571,5951,6687,6030,2151,1451,1430,1208,2325,988,2066,2845,8756,5408,3125,3938,7186,4254,3523,2824,3251
