Gene_ID,metafc,metap,Gene_Symbol,Gene_Description
ENSG00000146410,0.194253503302723,0.835054395782058,MTFR2,mitochondrial fission regulator 2
ENSG00000146411,-0.652839325408434,0.0659099213369748,SLC2A12,solute carrier family 2 member 12
ENSG00000146414,-0.114037041694083,0.843015308144832,SHPRH,SNF2 histone linker PHD RING helicase
ENSG00000146416,-0.0678823736880562,0.829031091902566,AIG1,androgen induced 1
ENSG00000146425,-0.0385080216235097,0.89482594380593,DYNLT1,dynein light chain Tctex-type 1
ENSG00000146426,-0.293293819529247,0.452292809064084,TIAM2,TIAM Rac1 associated GEF 2
ENSG00000146433,0.0953898711129468,0.865650060614411,TMEM181,transmembrane protein 181
ENSG00000146457,-0.0202640257117742,0.690371719467935,WTAP,WT1 associated protein
ENSG00000146463,-0.0345713921097645,0.963542596421898,ZMYM4,zinc finger MYM-type containing 4
ENSG00000146476,-0.0447725566136249,0.941551293384212,ARMT1,acidic residue methyltransferase 1
ENSG00000146477,0.590859989155402,0.707787188878954,SLC22A3,solute carrier family 22 member 3
ENSG00000146521,0.504186699803304,0.326836837126237,,
ENSG00000146530,-0.224570144732043,0.88713351080979,VWDE,von Willebrand factor D and EGF domains
ENSG00000146535,0.0681011264944195,0.971534075647712,GNA12,G protein subunit alpha 12
ENSG00000146540,0.107485514537887,0.688079972363554,C7orf50,chromosome 7 open reading frame 50
ENSG00000146555,-0.0991543116152696,0.890394516766451,SDK1,sidekick cell adhesion molecule 1
ENSG00000146556,0.0828401893742537,0.952150214998101,,
ENSG00000146574,-0.08138004769888,0.875175356726838,CCZ1B,"CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated"
ENSG00000146576,0.0637395401775733,0.985075362598042,INTS15,integrator complex subunit 15
ENSG00000146587,0.0364146465798759,0.96291940685144,RBAK,RB associated KRAB zinc finger
ENSG00000146592,0.14370345179485,0.83479820201583,CREB5,cAMP responsive element binding protein 5
ENSG00000146648,0.591537625190421,0.228448951348374,EGFR,epidermal growth factor receptor
ENSG00000146670,-0.00468555713429735,0.971881632478533,CDCA5,cell division cycle associated 5
ENSG00000146674,0.496567032203338,0.535363521113657,IGFBP3,insulin like growth factor binding protein 3
ENSG00000146676,0.015568823049737,0.991153759472138,PURB,purine rich element binding protein B
ENSG00000146700,0.0517840770269636,,SSC4D,scavenger receptor cysteine rich family member with 4 domains
ENSG00000146701,0.0871863648691573,0.92202772118959,MDH2,malate dehydrogenase 2
ENSG00000146707,0.446885214608699,0.339057312426724,POMZP3,POM121 and ZP3 fusion
ENSG00000146722,-0.23191872264801,0.667670667656265,,
ENSG00000146729,0.0664718935643875,0.934132629616005,NIPSNAP2,nipsnap homolog 2
ENSG00000146731,0.086135102816961,0.863416636242719,CCT6A,chaperonin containing TCP1 subunit 6A
ENSG00000146733,0.121855205778677,0.888623910491248,PSPH,phosphoserine phosphatase
ENSG00000146757,0.126471850773,0.122854876280535,ZNF92,zinc finger protein 92
ENSG00000146776,-0.00546538916473785,0.982644737483114,ATXN7L1,ataxin 7 like 1
ENSG00000146802,-0.0412320119239771,0.732838013064784,TMEM168,transmembrane protein 168
ENSG00000146826,0.0118158397611284,0.946811318566389,TRAPPC14,trafficking protein particle complex subunit 14
ENSG00000146828,0.0102614460744797,0.831997685689089,SLC12A9,solute carrier family 12 member 9
ENSG00000146830,-0.0194200088016284,0.995842083470672,GIGYF1,GRB10 interacting GYF protein 1
ENSG00000146833,0.432309775165974,0.647060828627021,TRIM4,tripartite motif containing 4
ENSG00000146834,0.0265108717090733,0.846323450001705,MEPCE,methylphosphate capping enzyme
ENSG00000146842,0.0884287381208942,0.859287594369512,TMEM209,transmembrane protein 209
ENSG00000146856,-0.149736658900153,0.782429809524505,AGBL3,AGBL carboxypeptidase 3
ENSG00000146858,-0.190641745872416,0.944099971566576,ZC3HAV1L,"zinc finger CCCH-type containing, antiviral 1 like"
ENSG00000146859,-0.0226152320328716,0.933288469265987,TMEM140,transmembrane protein 140
ENSG00000146872,-0.0946039258460546,0.796507212215275,TLK2,tousled like kinase 2
ENSG00000146904,0.0784061325952239,0.941905932137083,EPHA1,EPH receptor A1
ENSG00000146909,0.118464736319059,0.780977694509702,NOM1,nucleolar protein with MIF4G domain 1
ENSG00000146910,0.216291182256855,0.960272128113535,CNPY1,canopy FGF signaling regulator 1
ENSG00000146918,-0.0682186198250055,0.924503704337903,NCAPG2,non-SMC condensin II complex subunit G2
ENSG00000146938,-0.0033563394331304,0.973613075187011,NLGN4X,neuroligin 4 X-linked
ENSG00000146950,0.00980820186891899,0.880406670363146,SHROOM2,shroom family member 2
ENSG00000146963,-0.0116545452600552,0.945647132384353,LUC7L2,"LUC7 like 2, pre-mRNA splicing factor"
ENSG00000146966,0.0501722320540686,0.973868460629092,DENND2A,DENN domain containing 2A
ENSG00000147003,0.125379680062984,0.936485451823529,CLTRN,"collectrin, amino acid transport regulator"
