Gene_ID,randomSummary,randomP,randomCi.lb,randomCi.ub,Gene_Symbol,Gene_Description
ENSG00000121769,-0.032530208276401,0.645099946124867,-0.170960086505341,0.105899669952539,FABP3,fatty acid binding protein 3
ENSG00000121774,0.129437627202463,0.143983908078344,-0.0441921709603208,0.303067425365246,KHDRBS1,"KH RNA binding domain containing, signal transduction associated 1"
ENSG00000121775,0.0410698266015603,0.373816647834985,-0.049440835460857,0.131580488663978,TMEM39B,transmembrane protein 39B
ENSG00000121851,-0.0287382478168641,0.833485549954659,-0.296659251453606,0.239182755819877,POLR3GL,RNA polymerase III subunit GL
ENSG00000121858,-0.752508260212663,0.413939333187865,-2.55780022747037,1.05278370704504,TNFSF10,TNF superfamily member 10
ENSG00000121864,0.0406973948448464,0.374141260212195,-0.049053450540847,0.13044824023054,ZNF639,zinc finger protein 639
ENSG00000121871,-0.148999046003095,0.171663380091196,-0.362648434543068,0.0646503425368784,SLITRK3,SLIT and NTRK like family member 3
ENSG00000121879,0.0256581451127377,0.557530532727288,-0.0600842043976643,0.11140049462314,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
ENSG00000121892,0.0137734014700299,0.672785586877937,-0.0501469818081263,0.0776937847481862,PDS5A,PDS5 cohesin associated factor A
ENSG00000121895,0.0248496175159886,0.851600796737995,-0.23549523092502,0.285194465956997,TMEM156,transmembrane protein 156
ENSG00000121897,0.0271166094490627,0.497483147181896,-0.0512195596522606,0.105452778550386,LIAS,lipoic acid synthetase
ENSG00000121898,-0.268923316625285,0.529888093020348,-1.10798641508722,0.570139781836654,CPXM2,"carboxypeptidase X, M14 family member 2"
ENSG00000121900,-0.100522868971701,0.555726907028655,-0.434910340198924,0.233864602255522,TMEM54,transmembrane protein 54
ENSG00000121903,-0.0888733370494998,0.495877677243903,-0.344660474748978,0.166913800649978,ZSCAN20,zinc finger and SCAN domain containing 20
ENSG00000121904,-0.305894037963049,0.461326748289397,-1.1197540286028,0.507965952676699,CSMD2,CUB and Sushi multiple domains 2
ENSG00000121905,-0.24232832824059,0.629847280684218,-1.22783068851312,0.743174032031943,HPCA,hippocalcin
ENSG00000121931,0.0356374851460895,0.50512524889416,-0.0691692853227721,0.140444255614951,LRIF1,ligand dependent nuclear receptor interacting factor 1
ENSG00000121940,-0.0390361359689789,0.708074016192122,-0.24336421060558,0.165291938667622,CLCC1,chloride channel CLIC like 1
ENSG00000121957,0.112524915676743,0.0679953362420824,-0.00831904209502302,0.233368873448509,GPSM2,G protein signaling modulator 2
ENSG00000121964,-0.002289531816238,0.964061875706716,-0.10188337766234,0.0973043140298637,GTDC1,glycosyltransferase like domain containing 1
ENSG00000121966,0.175559232765893,0.423297959333869,-0.25417012170463,0.605288587236416,CXCR4,C-X-C motif chemokine receptor 4
ENSG00000121988,0.0490603788330679,0.335567833209814,-0.050794882586431,0.148915640252567,ZRANB3,zinc finger RANBP2-type containing 3
ENSG00000121989,-0.039701643257742,0.38413241961419,-0.129111187783523,0.0497079012680392,ACVR2A,activin A receptor type 2A
ENSG00000122008,-0.021742758670828,0.813610831295373,-0.202490733561043,0.159005216219387,POLK,DNA polymerase kappa
ENSG00000122012,-0.156895675594677,0.24555570081499,-0.421713707702056,0.107922356512701,SV2C,synaptic vesicle glycoprotein 2C
ENSG00000122025,,,,,FLT3,fms related receptor tyrosine kinase 3
ENSG00000122026,0.0106118795347345,0.781148959094177,-0.0642522330732583,0.0854759921427272,RPL21,ribosomal protein L21
ENSG00000122033,-0.0235456344065204,0.791525792078302,-0.198132812015562,0.151041543202521,MTIF3,mitochondrial translational initiation factor 3
ENSG00000122034,0.21879529025327,0.212444546914064,-0.125130143866689,0.56272072437323,GTF3A,general transcription factor IIIA
ENSG00000122035,-0.00139759600315235,0.993192727177337,-0.322461422269207,0.319666230262902,RASL11A,RAS like family 11 member A
ENSG00000122042,-0.0233309024603584,0.830200546303591,-0.23656909172299,0.189907286802273,UBL3,ubiquitin like 3
ENSG00000122068,0.0710722058852028,0.486334564322865,-0.129026706230614,0.27117111800102,FYTTD1,forty-two-three domain containing 1
ENSG00000122085,0.0032734050620249,0.916637784944609,-0.0580217615081911,0.0645685716322409,MTERF4,mitochondrial transcription termination factor 4
ENSG00000122121,,,,,XPNPEP2,X-prolyl aminopeptidase 2
ENSG00000122126,-0.00618193394846094,0.944222034613231,-0.179361101405847,0.166997233508925,OCRL,OCRL inositol polyphosphate-5-phosphatase
ENSG00000122140,0.086906478016516,0.447815826174446,-0.137493769665308,0.31130672569834,MRPS2,mitochondrial ribosomal protein S2
ENSG00000122176,,,,,FMOD,fibromodulin
ENSG00000122188,-0.0032714001473973,0.954897413873347,-0.116638983819456,0.110096183524661,LAX1,lymphocyte transmembrane adaptor 1
ENSG00000122194,0.0189270355387149,0.851848989395164,-0.17970411315842,0.21755818423585,PLG,plasminogen
ENSG00000122203,0.036036670808459,0.25504751128465,-0.0260193321159038,0.0980926737328219,KIAA1191,KIAA1191
